dyad,group,n_topics,topic_distance,n_switches,mean_negative_affect_comp,mean_enjoyment_comp,mean_similarity_comp,mean_closeness_comp,dyadic_novelty_neuro,dyadic_novelty_ling
103,friend,21,0.275127081,37,5.25,7,6.166666667,6.25,0.395606138,0.222309829
104,stranger,14,0.297531833,30,3,4.5,3.833333333,4.25,0.409589922,0.222749317
105,stranger,19,0.271041952,37,3.75,7,5,4.5,0.428407779,0.230670663
106,stranger,18,0.259798537,34,4,6,5.333333333,4.75,0.386920503,0.22128435
107,stranger,17,0.277180486,28,4.75,5.5,4.666666667,4.75,0.417570791,0.215114217
108,stranger,11,0.209189794,14,3,5.75,4.833333334,5.25,0.427555466,0.226764946
109,friend,15,0.268270793,30,4.25,6.25,5.166666667,5.25,0.440013709,0.233373775
111,stranger,12,0.210369016,18,4,6.75,5.166666667,6,0.429943347,0.230884341
112,stranger,14,0.278460522,30,4.25,6.5,4.833333333,5,0.432572143,0.223197383
113,friend,12,0.240916316,17,3.75,6.5,5.5,6,0.41999777,0.230594164
114,stranger,15,0.229149428,30,4.5,6.25,4.833333334,5.75,0.446227096,0.229805407
116,stranger,12,0.238833683,24,4.25,5.5,3.166666667,4.25,0.41543994,0.201485712
117,stranger,19,0.306864888,33,5.25,5.25,3.333333334,4.25,0.4159607,0.221565023
118,friend,15,0.225613043,28,4.75,7,5.5,6.75,0.419696849,0.236856932
121,friend,18,0.266914128,44,4,6.25,5,5.25,0.416195255,0.219060334
122,stranger,15,0.233226155,24,2.5,4.75,3.5,3.25,0.410315736,0.216274131
123,stranger,13,0.253364201,33,5.5,5,3.833333333,4.75,0.40153934,0.211881725
126,stranger,15,0.262068864,20,2.25,6.25,4.666666667,5,0.453435988,0.22243584
127,friend,19,0.294382198,38,6.25,7,6,6.25,0.451759487,0.231279099
129,stranger,17,0.265866475,27,5.5,4.5,4.166666667,5.75,0.445227303,0.234762338
130,friend,14,0.258101315,24,5,6.5,5.666666667,6,0.423858313,0.229375701
131,stranger,13,0.256019379,29,5,5,4.166666667,4.25,0.420211266,0.234090292
132,stranger,14,0.247864503,28,5.25,4.75,3.166666667,5,0.422390026,0.221907732
133,stranger,16,0.271937423,21,5.25,6.25,5,5,0.431711439,0.220381321
134,friend,17,0.270511149,31,5.25,6.5,5.333333333,6,0.431549505,0.239223605
137,stranger,11,0.248141332,17,6.25,5.25,3.666666667,5,0.41507065,0.215762211
138,stranger,11,0.237926216,20,4,5.75,3.833333334,3.75,0.451935319,0.229104816
142,stranger,19,0.312340929,38,3.25,6,4.333333334,5.5,0.458528577,0.246844866
143,stranger,14,0.262705326,25,4,4.75,3.833333333,3.5,0.416322017,0.217654981
145,friend,14,0.236419963,26,6,6.5,6.333333334,6,0.454515404,0.239470643
146,friend,23,0.310827554,58,3.25,6.75,5.5,6.25,0.441261002,0.236408291
147,friend,13,0.271002752,14,6.25,7,6.5,7,0.401589357,0.223099915
148,friend,14,0.277942272,20,5.5,5.75,5,6,0.409235143,0.21553103
150,friend,17,0.271343479,24,5.75,6.5,6.5,6,0.398263099,0.22106895
151,friend,16,0.250094003,37,6.75,7,6.333333334,6.75,0.42592685,0.226327555
152,friend,16,0.307823982,32,5.75,6.5,6.666666667,6.5,0.424841381,0.24395172
153,stranger,13,0.233682055,26,5.75,5.75,4,4.5,0.415168612,0.217713544
154,friend,20,0.26485759,46,5,6.25,5.833333333,4.5,0.459632964,0.239029735
155,friend,24,0.30569247,58,5.75,7,6.333333333,6.5,0.451205213,0.25951915
156,stranger,16,0.28104678,30,5,5.75,4.333333333,5,0.430945406,0.237888008
157,stranger,16,0.271528907,25,4.5,6.25,3.833333334,5.25,0.41303476,0.232621134
158,stranger,15,0.239737198,33,3.75,4.75,3.666666667,4,0.381245122,0.218918788
159,friend,18,0.276616038,31,4.75,6.25,6.166666667,6.5,0.435888592,0.241933118
160,friend,16,0.301575551,21,5.75,7,6.666666667,6.75,0.433191251,0.232455702
161,friend,22,0.287893864,47,4.5,6.75,6.166666667,6.75,0.461083767,0.240780694
162,friend,15,0.292884928,26,6.25,6.5,6.166666667,6.5,0.474766894,0.252766867
163,stranger,19,0.275721263,26,3.5,5.5,3.5,2.75,0.42533681,0.250403259
164,friend,15,0.253337269,24,4.5,6.5,5.833333334,6.25,0.407890061,0.209221359
165,friend,25,0.318179746,53,5.25,7,6,6.75,0.460225468,0.248989851
167,friend,13,0.257004769,17,5.75,6.75,6.5,6.75,0.386718458,0.187916761
169,friend,13,0.263792502,25,4,7,6,7,0.420901197,0.224674777
170,friend,17,0.286653384,26,5.5,6,4.666666667,6,0.450691045,0.244609633
172,friend,18,0.29731054,33,6.5,7,5.666666667,6.75,0.452020199,0.230618205
173,friend,15,0.263652267,20,4.5,4.25,5.166666667,4,0.436199298,0.227382703
174,stranger,15,0.234686616,22,5,6,4.5,5,0.385097213,0.220733235
175,friend,25,0.284507383,49,4,5.5,5.166666667,4.5,0.42427717,0.229760738
