dyad,group,condition,r2_vox,r2_roi,isc_vox_before,isc_vox_after,isc_roi_before,isc_roi_after
104,stranger,Generate,0.09122112,0.26473677,0.010604604,0.04239459,0.033697154,0.11128247
105,stranger,Generate,0.08711615,0.27379656,0.0039332393,0.11819751,0.012364202,0.26239523
107,stranger,Generate,0.100540176,0.30287072,0.008757949,0.07354804,0.028894104,0.12331613
108,stranger,Generate,0.10646721,0.30909905,-0.0011165021,0.09214131,-0.0052375924,0.21808603
109,friend,Generate,0.1269185,0.34696144,0.0030877846,0.09124312,0.013332457,0.2165323
113,friend,Generate,0.10892832,0.28019932,0.0049816007,0.06574988,0.01142067,0.08711242
114,stranger,Generate,0.1203872,0.3207358,0.007759424,0.0532009,0.023629766,0.052782714
116,stranger,Generate,0.11350622,0.31216902,0.0034754428,0.14746384,0.009604831,0.2569228
117,stranger,Generate,0.10776219,0.30538335,0.0054871105,0.009482414,0.009713533,0.014460492
120,stranger,Generate,0.12462951,0.32999137,-0.0024585626,0.07825214,-0.008093152,0.20349371
121,friend,Generate,0.10622015,0.29636994,0.00057111727,0.22451663,-0.0010485305,0.442021
122,stranger,Generate,0.09690639,0.2938695,0.0053186207,-0.0008485589,0.018100796,0.00076500047
123,stranger,Generate,0.09309619,0.29077554,0.004272147,0.021480454,0.010154562,0.056200407
126,stranger,Generate,0.1213549,0.33274615,0.00198205,-0.009843568,0.00472538,-0.06417977
127,friend,Generate,0.124173135,0.3361868,-0.000568204,0.03274142,-0.0031574315,0.06577366
128,stranger,Generate,0.10364112,0.28787735,0.00948864,0.1832607,0.026312646,0.34953958
129,stranger,Generate,0.097701736,0.29015398,0.005288151,0.01783315,0.016078306,0.0756109
130,friend,Generate,0.10789666,0.30263516,-0.001380641,0.005317092,-0.007460481,-0.016219273
131,stranger,Generate,0.10204403,0.30168712,0.0010338079,-0.079889394,0.0024461749,-0.2114271
132,stranger,Generate,0.11752008,0.289245,0.0035183642,0.089563295,0.009854044,0.18958192
133,stranger,Generate,0.12025694,0.30024132,0.0049271896,0.10575281,0.006527375,0.18478444
134,friend,Generate,0.11365737,0.3128904,0.0037044173,0.04362784,0.008960831,0.056925576
137,stranger,Generate,0.11407828,0.32230768,8.930639e-05,0.12766787,-0.004541682,0.25719756
138,stranger,Generate,0.12000769,0.31793162,0.0044061188,-0.021491561,0.0125587145,-0.07010104
142,stranger,Generate,0.11465195,0.30846938,0.001013033,0.016018854,-0.0001883751,-0.0046523255
145,friend,Generate,0.123092,0.31937551,0.008443985,0.047891445,0.023139514,0.056392994
146,friend,Generate,0.11576402,0.3141098,0.0048312205,0.10864101,0.021073448,0.21383625
147,friend,Generate,0.11482919,0.30545408,-0.0016844056,-0.0375771,-0.006612313,-0.08832693
150,friend,Generate,0.12398986,0.32205373,0.012831675,0.058338445,0.037117608,0.08565913
152,friend,Generate,0.11478542,0.30103064,0.012786461,0.06879864,0.032775275,0.10072753
153,stranger,Generate,0.112450115,0.3139792,0.010022218,0.08396124,0.027136616,0.12714054
154,friend,Generate,0.11791935,0.3159995,0.011229005,0.17835498,0.030311754,0.32340148
155,friend,Generate,0.112163074,0.30526352,0.0034636152,0.017820854,0.008736268,-0.028216418
156,stranger,Generate,0.09255353,0.26499587,0.002551673,0.009799187,0.004036049,-0.0051341443
157,stranger,Generate,0.09695952,0.29917833,-0.006345541,-0.015021425,-0.024571294,-0.05666856
158,stranger,Generate,0.1076629,0.28913683,0.009132169,0.050266504,0.027292002,0.08205378
159,friend,Generate,0.116515934,0.32922795,0.0014864637,0.019199163,0.00614051,0.014446252
160,friend,Generate,0.115793355,0.31383654,0.0020115448,-0.041727275,0.0017674547,-0.07854464
161,friend,Generate,0.112173885,0.2893177,-0.0023516796,0.16730109,-0.006373277,0.30429178
162,friend,Generate,0.10939753,0.31836882,0.0013717953,-0.0049570086,0.0014935881,-0.048637293
163,stranger,Generate,0.114090115,0.29877412,0.009421747,0.08832956,0.024698904,0.1882007
164,friend,Generate,0.106645815,0.29772404,0.004472675,0.04721349,0.006747415,0.05783805
165,friend,Generate,0.10056565,0.29403716,0.00081400946,0.01280665,-0.002315577,0.010696862
166,friend,Generate,0.11959384,0.3217418,0.0015977111,-0.023399806,0.006700381,-0.03165319
167,friend,Generate,0.13328068,0.3635243,0.004454764,0.08874817,0.012442817,0.17669691
169,friend,Generate,0.11428533,0.32899413,0.010982523,0.095689364,0.034192927,0.19303517
170,friend,Generate,0.0963955,0.27129963,0.007902018,0.15010016,0.022768348,0.23949191
172,friend,Generate,0.12375529,0.34195438,-0.002589708,0.057078917,-0.0013113379,0.104665756
173,friend,Generate,0.13204338,0.33734047,-0.00046045144,0.020236399,-0.00024730896,0.047233377
174,stranger,Generate,0.09280295,0.26498502,0.001669838,0.12839976,0.003987115,0.26814392
175,friend,Generate,0.0984698,0.28402743,-0.009252392,0.03101717,-0.025835678,0.008365545
