dyad,group,condition,roi,r2_roi,isc_roi_before,isc_roi_after
104,strangers,Generate,LH_EAC,0.49340916,0.18187393,0.79458827
104,strangers,Generate,LH_pSTG,0.41769502,0.11961043,0.65767115
104,strangers,Generate,LH_aSTG,0.46821725,0.13831191,0.82686406
104,strangers,Generate,LH_IFG,0.30793905,0.009789343,-0.14717734
104,strangers,Generate,LH_FOP,0.23987031,0.021278756,0.6762904
104,strangers,Generate,LH_MFG,0.34364125,0.0504076,0.14701623
104,strangers,Generate,LH_SM,0.42854097,-0.0019094131,-0.11511784
104,strangers,Generate,LH_SMA,0.28758234,0.107290335,0.10619288
104,strangers,Generate,LH_IPS,0.4533913,0.061764758,-0.24718821
104,strangers,Generate,LH_TPJ,0.3800928,0.05335915,-0.4490451
104,strangers,Generate,LH_PMC,0.47830626,-0.021237243,-0.04793259
104,strangers,Generate,RH_EAC,0.44676796,0.18872257,0.6283774
104,strangers,Generate,RH_pSTG,0.44839895,0.17095987,0.60779476
104,strangers,Generate,RH_aSTG,0.49536198,0.13585201,0.82860094
104,strangers,Generate,RH_IFG,0.295376,-0.012977746,0.29741746
104,strangers,Generate,RH_FOP,0.238094,0.024148716,0.46403536
104,strangers,Generate,RH_MFG,0.35531437,0.13746844,0.49933824
104,strangers,Generate,RH_SM,0.41401708,0.035572253,-0.39553192
104,strangers,Generate,RH_SMA,0.3435107,0.13298686,0.26413128
104,strangers,Generate,RH_IPS,0.46190637,0.10577212,0.20313615
104,strangers,Generate,RH_TPJ,0.42699736,0.08496478,-0.0040202965
104,strangers,Generate,RH_PMC,0.49180526,0.019960165,0.09395482
104,strangers,Read,LH_EAC,0.48898947,0.13230579,0.79964185
104,strangers,Read,LH_pSTG,0.4226044,0.02349011,0.6432018
104,strangers,Read,LH_aSTG,0.51723903,0.16970842,0.80589736
104,strangers,Read,LH_IFG,0.32968777,-0.03933607,-0.22046414
104,strangers,Read,LH_FOP,0.27351594,0.025662782,0.6604513
104,strangers,Read,LH_MFG,0.34790826,-0.055660408,-0.023295455
104,strangers,Read,LH_SM,0.46702558,0.0030821445,-0.051189087
104,strangers,Read,LH_SMA,0.298895,-0.025804428,0.07892145
104,strangers,Read,LH_IPS,0.47126523,-0.030287853,-0.2143743
104,strangers,Read,LH_TPJ,0.41265035,0.05085092,-0.5667791
104,strangers,Read,LH_PMC,0.47105306,0.071318336,0.05713845
104,strangers,Read,RH_EAC,0.4508657,0.14448024,0.62916785
104,strangers,Read,RH_pSTG,0.41407526,0.07810506,0.542804
104,strangers,Read,RH_aSTG,0.53672904,0.1413273,0.8107281
104,strangers,Read,RH_IFG,0.32683563,0.07791175,0.27069196
104,strangers,Read,RH_FOP,0.24985501,-0.0056921556,0.4427576
104,strangers,Read,RH_MFG,0.37630683,0.03685692,0.33936033
104,strangers,Read,RH_SM,0.43628725,0.027965263,-0.3900006
104,strangers,Read,RH_SMA,0.34876695,-0.02617973,0.14117411
104,strangers,Read,RH_IPS,0.4731174,-0.017457841,0.08598177
104,strangers,Read,RH_TPJ,0.41447806,0.07920495,-0.112015955
104,strangers,Read,RH_PMC,0.489608,0.033655245,0.13240685
105,strangers,Generate,LH_EAC,0.37320337,-0.0064755613,0.85424906
105,strangers,Generate,LH_pSTG,0.38256726,0.08407348,0.2397806
105,strangers,Generate,LH_aSTG,0.4397049,0.00062792044,0.2782977
105,strangers,Generate,LH_IFG,0.4204905,0.033832937,0.33277142
105,strangers,Generate,LH_FOP,0.32469726,0.030584132,0.25942376
105,strangers,Generate,LH_MFG,0.39218247,0.028793026,0.7502618
105,strangers,Generate,LH_SM,0.47746462,0.082725406,0.35222512
105,strangers,Generate,LH_SMA,0.3993097,0.10058217,0.3263793
105,strangers,Generate,LH_IPS,0.43233034,0.027009761,0.648542
105,strangers,Generate,LH_TPJ,0.4369383,-0.0018159372,0.23125191
105,strangers,Generate,LH_PMC,0.53529286,0.008010588,0.34187937
105,strangers,Generate,RH_EAC,0.36956388,-0.035853986,0.6388678
105,strangers,Generate,RH_pSTG,0.38027883,0.04033262,0.022590214
105,strangers,Generate,RH_aSTG,0.39956546,-0.0029671735,-0.0066301837
105,strangers,Generate,RH_IFG,0.3107303,0.020072896,-0.049793214
105,strangers,Generate,RH_FOP,0.3213841,0.025093213,0.0997501
105,strangers,Generate,RH_MFG,0.38251287,0.066036664,0.56702346
105,strangers,Generate,RH_SM,0.4352063,0.05588862,0.1995199
105,strangers,Generate,RH_SMA,0.3699224,0.08532194,0.72923374
105,strangers,Generate,RH_IPS,0.46911544,-0.025601642,0.4941755
105,strangers,Generate,RH_TPJ,0.44059482,-0.021199614,0.2855506
105,strangers,Generate,RH_PMC,0.5255433,-0.0070629236,0.563859
105,strangers,Read,LH_EAC,0.4026066,0.0395015,0.86323166
105,strangers,Read,LH_pSTG,0.39060858,0.065489605,0.360534
105,strangers,Read,LH_aSTG,0.4834364,0.12208734,0.38518456
105,strangers,Read,LH_IFG,0.43368572,0.04130143,0.3718228
105,strangers,Read,LH_FOP,0.31206763,-0.016106442,0.19211231
105,strangers,Read,LH_MFG,0.39247358,0.0032486164,0.7055896
105,strangers,Read,LH_SM,0.5004082,0.094000034,0.3273549
105,strangers,Read,LH_SMA,0.40370524,0.04395402,0.33687246
105,strangers,Read,LH_IPS,0.39882553,-0.0011334175,0.64815533
105,strangers,Read,LH_TPJ,0.4531215,-0.016802719,0.20280574
105,strangers,Read,LH_PMC,0.51999074,-0.031988084,0.34692964
105,strangers,Read,RH_EAC,0.41293794,0.07717857,0.6799028
105,strangers,Read,RH_pSTG,0.383843,0.036679085,0.14899185
105,strangers,Read,RH_aSTG,0.41105708,0.1301893,0.065310486
105,strangers,Read,RH_IFG,0.30373326,0.053364478,0.024890339
105,strangers,Read,RH_FOP,0.28630105,-0.046032827,0.117735356
105,strangers,Read,RH_MFG,0.3804831,0.009796843,0.5322494
105,strangers,Read,RH_SM,0.48110482,0.083173156,0.14145817
105,strangers,Read,RH_SMA,0.34906796,0.020271335,0.7323891
105,strangers,Read,RH_IPS,0.4522531,0.060831636,0.4666921
105,strangers,Read,RH_TPJ,0.44825262,0.013598424,0.2571711
105,strangers,Read,RH_PMC,0.511104,-0.0062618186,0.5464952
107,strangers,Generate,LH_EAC,0.44632995,-0.032602403,0.569464
107,strangers,Generate,LH_pSTG,0.44480312,0.015664922,0.16339636
107,strangers,Generate,LH_aSTG,0.48302364,0.0008666371,0.44040936
107,strangers,Generate,LH_IFG,0.35311213,0.027212283,0.076939516
107,strangers,Generate,LH_FOP,0.44033104,0.07608058,0.20944476
107,strangers,Generate,LH_MFG,0.37064055,-0.037039127,-0.11969443
107,strangers,Generate,LH_SM,0.5020437,-0.102458864,-0.33873868
107,strangers,Generate,LH_SMA,0.33795583,0.0042132474,0.17939156
107,strangers,Generate,LH_IPS,0.4620515,0.03285508,-0.41230336
107,strangers,Generate,LH_TPJ,0.4639629,0.012251377,0.20581181
107,strangers,Generate,LH_PMC,0.52287954,0.051703524,0.14185567
107,strangers,Generate,RH_EAC,0.4537543,0.0038542727,0.40233254
107,strangers,Generate,RH_pSTG,0.5086452,0.122785985,0.6602184
107,strangers,Generate,RH_aSTG,0.47455952,0.075978786,0.7720334
107,strangers,Generate,RH_IFG,0.43093586,0.024159702,0.5659983
107,strangers,Generate,RH_FOP,0.40958577,0.06838491,0.21218066
107,strangers,Generate,RH_MFG,0.46032688,0.07915667,0.35785472
107,strangers,Generate,RH_SM,0.5301399,-0.010923447,0.2461001
107,strangers,Generate,RH_SMA,0.42661756,0.04089635,0.31245714
